system:index,NDBI,NDVI,.geo
56,-0.021142066785220313,0.38515143393192175,"{""type"":""Point"",""coordinates"":[77.45603821462966,23.281234481299155]}"
57,0.125638911788953,0.30214855739717617,"{""type"":""Point"",""coordinates"":[77.32055129815824,23.282243662153117]}"
58,-0.2567049808429119,0.6074284240392056,"{""type"":""Point"",""coordinates"":[77.42246481063474,23.345842211083422]}"
59,-0.055671005140544676,0.355998876088789,"{""type"":""Point"",""coordinates"":[77.44757037377914,23.27369048384372]}"
60,0.029898403483309143,0.39813136243201785,"{""type"":""Point"",""coordinates"":[77.40770699683773,23.172601822226813]}"
61,-0.09389113382457809,0.3859358530341816,"{""type"":""Point"",""coordinates"":[77.39956631634408,23.247268469610653]}"
62,0.1264597931264598,0.06034831915755366,"{""type"":""Point"",""coordinates"":[77.4036361294879,23.264164501782833]}"
63,0.03807962980815579,0.13502445683084974,"{""type"":""Point"",""coordinates"":[77.4563854105019,23.18624261880058]}"
64,-0.04294826364280652,0.1948684637869438,"{""type"":""Point"",""coordinates"":[77.4463437478509,23.216305002224676]}"
65,0.021133764296369966,0.32961837217156364,"{""type"":""Point"",""coordinates"":[77.41051106214213,23.194438056492505]}"
66,0.03594222371514948,0.11586314152410575,"{""type"":""Point"",""coordinates"":[77.43540860953998,23.203593921245957]}"
67,-0.010728654447921324,0.39697250540624035,"{""type"":""Point"",""coordinates"":[77.3664456706516,23.322939861912534]}"
68,-0.02955511770195997,0.4092264017033357,"{""type"":""Point"",""coordinates"":[77.37126996516648,23.2225604296141]}"
69,-0.14112495789828225,0.46730186227804243,"{""type"":""Point"",""coordinates"":[77.38955490586861,23.219105987137475]}"
70,0.14139381745015547,0.2652291105121294,"{""type"":""Point"",""coordinates"":[77.39085259387306,23.205813097018833]}"
71,-0.08832626875930806,0.46063960639606394,"{""type"":""Point"",""coordinates"":[77.36465073027072,23.194824505555914]}"
72,-0.0016143497757847534,0.23621872924507417,"{""type"":""Point"",""coordinates"":[77.45803001040144,23.29334253977054]}"
73,0.2263010733291242,0.17926862799010174,"{""type"":""Point"",""coordinates"":[77.33627297782355,23.28736720943799]}"
74,0.10447185813415574,0.37740883486510524,"{""type"":""Point"",""coordinates"":[77.34636307242717,23.306593941964472]}"
75,-0.3799575466428332,0.7246579167830215,"{""type"":""Point"",""coordinates"":[77.33769934510494,23.23544510430284]}"
76,-0.005670220004536176,0.26577219526120466,"{""type"":""Point"",""coordinates"":[77.43774556171898,23.273335777488747]}"
77,-0.42127659574468085,0.6169983862291555,"{""type"":""Point"",""coordinates"":[77.32324454627096,23.2304668112192]}"
78,-0.1106480103205319,0.5396890906589628,"{""type"":""Point"",""coordinates"":[77.33860327592782,23.203134121742423]}"
79,-0.2846226035661617,0.6719595184086546,"{""type"":""Point"",""coordinates"":[77.41238798822353,23.23235818424495]}"
80,-0.017648407059362825,0.3975448536355052,"{""type"":""Point"",""coordinates"":[77.46530765151219,23.311438815166277]}"
81,-0.12828947368421054,0.45913096323305985,"{""type"":""Point"",""coordinates"":[77.38948201350539,23.33206602269142]}"
82,0.02577495174293176,0.3807531380753138,"{""type"":""Point"",""coordinates"":[77.46749025448618,23.254232196598178]}"
83,0.05539830165790538,0.33485714285714285,"{""type"":""Point"",""coordinates"":[77.38982596101094,23.331276965584085]}"
84,0.0034036759700476512,0.22408026755852842,"{""type"":""Point"",""coordinates"":[77.48822387765809,23.306862691601932]}"
85,0.015355805243445693,0.3932167461579226,"{""type"":""Point"",""coordinates"":[77.38276331809756,23.329397607493732]}"
86,0.11593375214163336,0.1847543242002143,"{""type"":""Point"",""coordinates"":[77.4593505758282,23.198521373450383]}"
87,-0.1332747510251904,0.6201842546063652,"{""type"":""Point"",""coordinates"":[77.42245056585911,23.216466907795716]}"
88,-0.1503371677905593,0.5092375748113454,"{""type"":""Point"",""coordinates"":[77.44455803341481,23.341179488550193]}"
